,Author,location,age,gender
104,"Orwell, George",Puerto Rico,30.0,F
105,"Iacoca, Lee",Berlin,44.0,M
106,"Maugham, William S",Puerto Rico,24.0,F
107,"Maugham, William S",Puerto Rico,24.0,F
108,"Pirsig, Robert",Afghanistan,30.0,M
109,"Fisk, Robert",Berlin,38.0,M
110,"Fisk, Robert",Berlin,38.0,M
111,"Aczel, Amir",London,35.0,M
112,"Huntington, Samuel",Berlin,34.0,M
113,"Bach, Richard",Berlin,34.0,M
114,Braithwaite,Canada,36.0,M
115,"Naipaul, V S",New York,30.0,F
116,"Nehru, Jawaharlal",London,41.0,M
117,"Durrell, Gerald",New York,44.0,F
118,"Wells, H G",Afghanistan,44.0,M
119,"Singh, Simon",New York,43.0,F
120,"Duda, Hart",Puerto Rico,35.0,M
121,"Friedman, Thomas",Canada,21.0,F
122,"Devlin, Keith",Berlin,40.0,M
123,"Gleick, James",Afghanistan,42.0,M
124,"Thomas, Joy",Berlin,36.0,M
125,"Rashid, Muhammad",Afghanistan,33.0,F
126,"Mohan, Ned",Berlin,32.0,M
127,"Haykin, Simon",Berlin,35.0,F
128,"Rutherford, Alex",New York,21.0,M
129,"Baz-Zohar, Michael",New York,29.0,M
130,"Corbett, Jim",Afghanistan,41.0,F
131,"Verne, Jules",New York,40.0,F
132,Deshpande P L,Berlin,24.0,F
133,"Raymond, Eric",London,20.0,F
134,"Franco, Sergio",London,37.0,M
135,"Downey, Allen",Puerto Rico,20.0,F
136,"West, Morris",London,43.0,F
137,"Janert, Phillip",Canada,26.0,F
138,"Sagan, Carl",London,38.0,M
139,"Bell, E T",Puerto Rico,39.0,M
140,"Dawkins, Richard",Puerto Rico,44.0,F
141,"Ranjan, Sudhanshu",London,44.0,M
142,Kautiyla,Afghanistan,21.0,M
143,Palkhivala,Canada,44.0,F
144,Sorabjee,Puerto Rico,39.0,F
145,"Zaidi, Hussain",New York,20.0,F
146,"Ackroyd, Peter",Puerto Rico,24.0,M
147,Nariman,Puerto Rico,33.0,M
148,"Sassoon, Jean",London,21.0,F
149,"Dickinson, Peter",New York,37.0,M
150,Machiavelli,Canada,22.0,F
151,"Huxley, Aldous",Canada,41.0,M
152,"Rowling, J K",New York,38.0,M
153,"Larsson, Steig",New York,22.0,M
154,"Eddins, Steve",New York,33.0,F
155,"Dickens, Charles",Puerto Rico,32.0,F
